word_triplet,word1,word2,word3,triplet_freq,word1_freq,word2_freq,word3_freq,logdice
monte carlo simulation,monte,carlo,simulation,7,23,19,243,10.237499
ab academic publishers,ab,academic,publishers,18,140,419,174,10.237218
la chapelle aux,la,chapelle,aux,8,308,8,10,10.236234
revision lecture attendance,revision,lecture,attendance,13,118,249,163,10.235554
potter secret rites,potter,secret,rites,7,53,138,96,10.22741
greenblatt sir walter,greenblatt,sir,walter,5,16,145,44,10.22741
pages 407420 macmillan,pages,407420,macmillan,9,206,9,155,10.223506
emma austen 1816,emma,austen,1816,8,230,84,15,10.223019
11th edition sweet,11th,edition,sweet,17,29,507,165,10.219155
midsummer nights dream,midsummer,nights,dream,5,9,77,121,10.213404
pour le dire,pour,le,dire,5,46,132,30,10.206451
winters tale shakespeare,winters,tale,shakespeare,7,61,129,105,10.187746
et al 2002,et,al,2002,226,3545,3446,2662,10.16838
et al 2001,et,al,2001,227,3545,3446,2708,10.167891
lyons rawls versus,lyons,rawls,versus,8,29,127,186,10.16711
plutarch tiberius gracchus,plutarch,tiberius,gracchus,5,161,41,12,10.165424
trans hugh gray,trans,hugh,gray,5,69,56,89,10.165424
charlotte w ghurye,charlotte,w,ghurye,10,24,390,15,10.162057
maximal static expiratory,maximal,static,expiratory,6,35,204,19,10.158698
gyan prakash op,gyan,prakash,op,9,15,20,353,10.154975
oral witness testimony,oral,witness,testimony,7,139,115,48,10.153913
automotive news 00051551,automotive,news,00051551,9,93,290,9,10.140178
jane austen emma,jane,austen,emma,10,123,84,230,10.135401
physician assisted suicide,physician,assisted,suicide,6,47,82,134,10.131006
dickensian criticism 18361975,dickensian,criticism,18361975,13,21,536,13,10.130584
rawls versus utilitarianism,rawls,versus,utilitarianism,8,127,186,38,10.129635
et al 2005,et,al,2005,224,3545,3446,2843,10.128755
hugh gray berkeley,hugh,gray,berkeley,5,56,89,75,10.125531
rheumatoid arthritis ra,rheumatoid,arthritis,ra,5,44,92,85,10.118988
jackson ireland 17981998,jackson,ireland,17981998,9,154,236,9,10.114643
sussex justices ex,sussex,justices,ex,6,23,29,217,10.098463
roberts jacqueslouis david,roberts,jacqueslouis,david,16,108,31,582,10.091107
cellulose 350 ms,cellulose,350,ms,10,60,61,332,10.083523
modernism ford madox,modernism,ford,madox,8,121,193,50,10.077168
clubbing cyanosis oedema,clubbing,cyanosis,oedema,5,47,86,96,10.067687
et al 2000,et,al,2000,207,3545,3446,2523,10.062613
deserted wifes equity,deserted,wifes,equity,8,46,48,274,10.061401
cox supra no21,cox,supra,no21,5,53,167,10,10.061401
gerald segal routledge,gerald,segal,routledge,5,19,37,174,10.061401
mario petrucci poetry,mario,petrucci,poetry,7,13,18,292,10.056927
woolf mrs dalloway,woolf,mrs,dalloway,13,91,437,76,10.046997
20 th century,20,th,century,75,972,930,1587,10.045183
femtosecond laser pulse,femtosecond,laser,pulse,12,71,197,291,10.043221
coral beach resort,coral,beach,resort,5,49,58,127,10.036526
transient ischaemic attacks,transient,ischaemic,attacks,7,76,44,208,10.034765
motor impairment score,motor,impairment,score,23,629,126,323,10.034383
limb bud outgrowth,limb,bud,outgrowth,7,243,59,27,10.030374
tin doped copper,tin,doped,copper,5,38,20,177,10.030374
victorian châteaux hotels,victorian,châteaux,hotels,13,226,28,359,10.025659
van den haag,van,den,haag,6,238,39,6,10.025267
1st edition printed,1st,edition,printed,15,76,507,127,10.020178
minister tony blair,minister,tony,blair,6,144,61,79,10.020178
remco vahl leadership,remco,vahl,leadership,10,10,10,455,10.015107
mulheron contributory negligence,mulheron,contributory,negligence,6,6,94,185,10.015107
antisocial personality disorder,antisocial,personality,disorder,14,72,365,229,10.012939
middlesex penguin books,middlesex,penguin,books,17,22,234,564,9.992945
randomised controlled trial,randomised,controlled,trial,22,71,574,420,9.987756
routledge philosophy guidebook,routledge,philosophy,guidebook,14,174,493,14,9.980806
paraguayan republic 18001870,paraguayan,republic,18001870,6,13,273,6,9.9801
chimpanzees pan troglodytes,chimpanzees,pan,troglodytes,6,213,68,12,9.975168
et al 1998,et,al,1998,180,3545,3446,1818,9.972053
visited april 21,visited,april,21,20,112,350,517,9.971726
morford lenardon 2007,morford,lenardon,2007,8,28,24,341,9.966577
kayano shigeru 1980,kayano,shigeru,1980,8,27,11,355,9.966577
anaemia clubbing cyanosis,anaemia,clubbing,cyanosis,5,114,47,86,9.958523
altman rick deep,altman,rick,deep,8,22,14,360,9.955606
friday 7th january,friday,7th,january,7,46,48,253,9.953526
