word_pair,word1,word2,pair_freq,word1_freq,word2_freq,logdice
faecalis v583,faecalis,v583,11,23,11,13.371969
serviced apartment,serviced,apartment,21,34,31,13.36995
jolly su,jolly,su,21,32,33,13.36995
lloyds rep,lloyds,rep,19,36,23,13.365284
iambic pentameter,iambic,pentameter,15,32,15,13.352302
gower sos,gower,sos,28,51,37,13.347923
flexor retinaculum,flexor,retinaculum,7,14,8,13.347923
roffey bros,roffey,bros,7,10,12,13.347923
jus cogens,jus,cogens,7,15,7,13.347923
amu darya,amu,darya,7,7,15,13.347923
crim lr,crim,lr,41,48,81,13.346325
vant hoff,vant,hoff,6,6,13,13.337035
durant gj,durant,gj,6,9,10,13.337035
penner schiff,penner,schiff,11,12,23,13.330149
capsular polysaccharide,capsular,polysaccharide,5,9,7,13.321928
hamer collinson,hamer,collinson,5,6,10,13.321928
jorge luis,jorge,luis,5,7,9,13.321928
trobriand islanders,trobriand,islanders,5,8,8,13.321928
broadway cottages,broadway,cottages,5,6,10,13.321928
ojls 539,ojls,539,5,6,10,13.321928
mishkin frederic,mishkin,frederic,5,6,10,13.321928
ultra vires,ultra,vires,19,41,20,13.31719
premier lodge,premier,lodge,42,65,71,13.304855
plaza miserere,plaza,miserere,8,18,8,13.29956
chatto windus,chatto,windus,8,13,13,13.29956
scheperhughes 2001a,scheperhughes,2001a,8,10,16,13.29956
clostridium botulinum,clostridium,botulinum,19,30,32,13.293731
pep carboxylase,pep,carboxylase,15,25,24,13.292181
whitethroated capuchins,whitethroated,capuchins,14,15,31,13.283793
aw ewing,aw,ewing,7,12,11,13.283793
axford barrie,axford,barrie,7,12,11,13.283793
myocardial infarction,myocardial,infarction,30,46,53,13.277534
dibb simkin,dibb,simkin,9,19,11,13.263034
caput medusae,caput,medusae,6,14,6,13.263034
tamil eelam,tamil,eelam,6,14,6,13.263034
alkaline phosphatase,alkaline,phosphatase,30,65,36,13.248679
interplanar spacings,interplanar,spacings,8,14,13,13.245112
vita activa,vita,activa,8,19,8,13.245112
warst du,warst,du,34,34,81,13.241973
succinate dehydrogenase,succinate,dehydrogenase,13,18,26,13.241008
ethyl acetate,ethyl,acetate,18,23,38,13.239188
palmar creases,palmar,creases,10,24,10,13.234465
sigal disarming,sigal,disarming,10,24,10,13.234465
saccharomyces cerevisiae,saccharomyces,cerevisiae,5,5,12,13.234465
mccullough emmons,mccullough,emmons,5,11,6,13.234465
milford wolpoff,milford,wolpoff,5,9,8,13.234465
ara pacis,ara,pacis,5,11,6,13.234465
hesiod theogony,hesiod,theogony,5,11,6,13.234465
cmv clarkson,cmv,clarkson,12,15,26,13.22741
pilcher ¡que,pilcher,¡que,7,16,8,13.222392
tremoulet feldman,tremoulet,feldman,9,15,16,13.215729
bulimia nervosa,bulimia,nervosa,9,9,22,13.215729
leukonychia dupuytrens,leukonychia,dupuytrens,9,11,20,13.215729
contracture kolonychia,contracture,kolonychia,9,22,9,13.215729
polyphenol oxidase,polyphenol,oxidase,9,15,16,13.215729
kayano shigeru,kayano,shigeru,11,27,11,13.211504
saint fusions,saint,fusions,51,123,54,13.20482
ex parte,ex,parte,88,217,89,13.202044
los angeles,los,angeles,23,57,23,13.201634
fincham rhodes,fincham,rhodes,27,45,49,13.200299
rheumatoid arthritis,rheumatoid,arthritis,39,44,92,13.197939
postural hypotension,postural,hypotension,16,24,32,13.192645
thenar eminence,thenar,eminence,6,10,11,13.192645
occams razor,occams,razor,6,6,15,13.192645
prefortis clipping,prefortis,clipping,6,6,15,13.192645
mar 180203,mar,180203,6,15,6,13.192645
tokyo hostess,tokyo,hostess,19,39,28,13.181838
blaue engel,blaue,engel,11,13,26,13.174029
johanson edgar,johanson,edgar,9,16,16,13.169925
burt oaksford,burt,oaksford,7,14,11,13.163499
ithaca cornell,ithaca,cornell,12,17,26,13.158698
aberdeen angus,aberdeen,angus,17,27,34,13.156726
prenominal modifiers,prenominal,modifiers,10,11,25,13.152003
proc natl,proc,natl,5,13,5,13.152003
marcus aurelius,marcus,aurelius,5,13,5,13.152003
chrissinclair iain,chrissinclair,iain,5,5,13,13.152003
peach linden,peach,linden,5,10,8,13.152003
0333 0333,0333,0333,5,9,9,13.152003
sua causa,sua,causa,5,9,9,13.152003
anorexia nervosa,anorexia,nervosa,13,25,22,13.145851
hexter fernand,hexter,fernand,13,16,31,13.145851
hogg vaughn,hogg,vaughn,8,20,9,13.142019
thrift editions,thrift,editions,8,13,16,13.142019
memoir colorado,memoir,colorado,8,12,17,13.142019
eysenck keane,eysenck,keane,19,38,31,13.139403
res gestae,res,gestae,11,29,11,13.137504
heatherwick studio,heatherwick,studio,21,22,55,13.125531
sally sheldon,sally,sheldon,15,28,27,13.125531
jerusha mccormack,jerusha,mccormack,9,9,24,13.125531
sara haslam,sara,haslam,9,19,14,13.125531
arcadio buendia,arcadio,buendia,6,7,15,13.125531
hu jintao,hu,jintao,6,16,6,13.125531
bonilla heraclio,bonilla,heraclio,7,15,11,13.106915
cr app,cr,app,53,132,65,13.105869
haimon lekythoi,haimon,lekythoi,18,35,32,13.103836
levi strauss,levi,strauss,22,32,50,13.10188
acetyl coa,acetyl,coa,12,27,18,13.093109
19141921 vol1,19141921,vol1,8,15,15,13.093109
manhood suffrage,manhood,suffrage,17,26,38,13.087463
